City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,jatoba,-9.1831,-38.2689,27.11,36,0,4.39,BR,1704674905
83,puerto baquerizo moreno,-0.9,-89.6,24.79,83,96,3.7,EC,1704674905
84,mumbwa,-14.9783,27.0619,20.05,79,74,2.23,ZM,1704674906
85,udachny,66.4167,112.4,-25.51,96,100,4.91,RU,1704674907
86,yellowknife,62.456,-114.3525,-33.73,79,75,1.54,CA,1704674907
87,enewetak,11.3474,162.3373,27.05,70,2,8.9,MH,1704674908
88,laojunmiao,39.8333,97.7333,-4.64,32,100,1.71,CN,1704674909
89,st. john's,47.5649,-52.7093,-4.92,79,20,10.29,CA,1704674656
90,tefenni,37.3097,29.7754,6.39,85,95,2.84,TR,1704674910
91,taoudenni,22.6783,-3.9836,20.67,27,0,2.57,ML,1704674911
92,hailar,49.2,119.7,-28.81,99,20,1.98,CN,1704674912
93,akureyri,65.6835,-18.0878,6.96,65,0,8.75,IS,1704674912
94,pangkalanbuun,-2.6833,111.6167,26.41,87,100,1.36,ID,1704674913
95,deniliquin,-35.5333,144.9667,26.71,58,61,3.31,AU,1704674914
96,geraldton,-28.7667,114.6,28.23,61,0,6.17,AU,1704674915
97,longyearbyen,78.2186,15.6401,-17.09,66,75,6.17,SJ,1704674915
98,tura,25.5198,90.2201,13.04,69,0,1.08,IN,1704674916
99,hamilton,39.1834,-84.5333,2.83,79,100,2.68,US,1704674066
100,mejit,10.2753,170.8646,26.67,66,16,6.83,MH,1704674917
101,staraya vichuga,57.2683,41.8787,-22.67,100,98,3.19,RU,1704674918
102,forster,-32.1667,152.5167,29.65,60,100,6.06,AU,1704674919
103,emirdag,39.0197,31.15,6.89,85,98,3.5,TR,1704674802
104,katabu,-4.9333,122.5167,27.85,82,98,1.71,ID,1704674920
105,ampanihy,-24.7,44.75,23.9,85,5,0.52,MG,1704674921
106,faya-largeau,17.9257,19.1043,18.92,14,46,6.29,TD,1704674922
107,boromo,11.75,-2.9333,25.45,17,14,1.87,BF,1704674923
108,imbituba,-28.24,-48.6703,23.08,94,22,5.62,BR,1704674923
109,namibe,-15.1961,12.1522,22.35,83,100,2.93,AO,1704674925
110,edinburgh of the seven seas,-37.0676,-12.3116,16.47,74,100,4.99,SH,1704674925
111,quesnel,52.9999,-122.5029,-4.72,63,0,0.0,CA,1704674721
112,vorgashor,67.5833,63.95,-22.09,99,99,3.38,RU,1704674927
113,necochea,-38.5473,-58.7368,18.03,80,100,3.23,AR,1704674928
114,whitehorse,60.7161,-135.0538,-17.77,81,75,8.23,CA,1704674929
115,lhuentse,27.6679,91.1839,7.98,79,73,1.22,BT,1704674929
116,umm kaddadah,13.6017,26.6876,16.48,33,4,5.29,SD,1704674930
117,moires,35.0532,24.8744,14.42,82,97,5.81,GR,1704674931
118,lorengau,-2.0226,147.2712,28.72,76,100,2.08,PG,1704674931
119,west island,-12.1568,96.8225,27.99,78,40,6.69,CC,1704674932
120,inhambane,-23.865,35.3833,23.21,83,8,2.08,MZ,1704674933
121,dese,11.1333,39.6333,8.47,84,11,0.59,ET,1704674934
122,yueyang,29.3333,113.0919,8.37,60,100,2.4,CN,1704674934
123,rongelap,11.1635,166.8941,27.06,71,65,7.13,MH,1704674935
124,iqaluit,63.7506,-68.5145,-23.15,77,75,1.03,CA,1704674936
125,badger,64.8,-147.5333,-10.07,81,40,0.0,US,1704674937
126,arkhangel'sk,64.5401,40.5433,-11.04,92,75,5.0,RU,1704674937
127,aykhal,66.0,111.5,-28.73,99,100,3.03,RU,1704674938
128,callao,-12.0667,-77.15,24.84,69,75,8.23,PE,1704674939
129,nantucket,41.2835,-70.0995,1.11,83,100,14.23,US,1704674698
130,leua,48.2156,18.6071,-0.28,67,86,2.72,SK,1704674940
131,portland,45.5234,-122.6762,7.56,89,100,1.34,US,1704674506
